PhraseId,Sentiment
156061,1
156062,1
156063,2
156064,2
156065,1
156066,3
156067,2
156068,2
156069,4
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,1
156077,3
156078,0
156079,0
156080,2
156081,2
156082,2
156083,0
156084,2
156085,2
156086,2
156087,2
156088,2
156089,0
156090,2
156091,2
156092,2
156093,3
156094,2
156095,2
156096,2
156097,1
156098,2
156099,2
156100,2
156101,2
156102,2
156103,3
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,1
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,1
156123,2
156124,2
156125,3
156126,2
156127,2
156128,2
156129,2
156130,1
156131,2
156132,1
156133,2
156134,2
156135,2
156136,2
156137,2
156138,1
156139,2
156140,2
156141,1
156142,2
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,1
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,1
156167,2
156168,1
156169,2
156170,2
156171,1
156172,2
156173,2
156174,2
156175,2
156176,2
156177,2
156178,0
156179,2
156180,2
156181,2
156182,2
156183,0
156184,2
156185,0
156186,0
156187,0
156188,1
156189,2
156190,1
156191,1
156192,2
156193,2
156194,1
156195,2
156196,1
156197,1
156198,1
156199,2
156200,2
156201,1
156202,2
156203,1
156204,2
156205,1
156206,3
156207,1
156208,2
156209,1
156210,1
156211,1
156212,2
156213,2
156214,2
156215,2
156216,1
156217,2
156218,2
156219,2
156220,2
156221,2
156222,3
156223,2
156224,3
156225,2
156226,1
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,4
156237,2
156238,4
156239,2
156240,4
156241,2
156242,2
156243,3
156244,4
156245,3
156246,2
156247,2
156248,2
156249,2
156250,1
156251,3
156252,2
156253,2
156254,2
156255,2
156256,2
156257,3
156258,2
156259,3
156260,2
156261,2
156262,2
156263,1
156264,1
156265,2
156266,2
156267,2
156268,2
156269,1
156270,2
156271,2
156272,2
156273,2
156274,1
156275,2
156276,4
156277,3
156278,3
156279,3
156280,2
156281,3
156282,3
156283,2
156284,2
156285,2
156286,3
156287,3
156288,3
156289,4
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,1
156297,2
156298,1
156299,2
156300,1
156301,1
156302,2
156303,2
156304,2
156305,2
156306,2
156307,2
156308,2
156309,2
156310,2
156311,1
156312,2
156313,1
156314,2
156315,2
156316,1
156317,0
156318,2
156319,0
156320,2
156321,1
156322,2
156323,2
156324,2
156325,0
156326,2
156327,2
156328,2
156329,1
156330,2
156331,2
156332,2
156333,1
156334,0
156335,0
156336,1
156337,1
156338,1
156339,3
156340,2
156341,2
156342,1
156343,1
156344,2
156345,2
156346,3
156347,3
156348,3
156349,2
156350,2
156351,2
156352,2
156353,2
156354,2
156355,3
156356,2
156357,3
156358,3
156359,2
156360,2
156361,2
156362,0
156363,2
156364,0
156365,1
156366,2
156367,0
156368,0
156369,0
156370,1
156371,1
156372,1
156373,1
156374,3
156375,3
156376,2
156377,2
156378,4
156379,2
156380,2
156381,2
156382,2
156383,3
156384,0
156385,0
156386,2
156387,2
156388,2
156389,1
156390,2
156391,2
156392,2
156393,1
156394,2
156395,2
156396,1
156397,2
156398,1
